TOKEN  ST_POS
integer   -1
identifier   10
;   -1
integer   -1
identifier   29
;   -1
integer   -1
identifier   5
;   -1
read   -1
(   -1
identifier   10
)   -1
;   -1
identifier   29
=   -1
constant   49
;   -1
verify   -1
(   -1
identifier   10
<   -1
const   43
)   -1
{   -1
identifier   29
=   -1
constant   48
;   -1
}   -1
otherwise   -1
{   -1
verify   -1
(   -1
identifier   10
==   -1
constant   0
)   -1
{   -1
identifier   29
=   -1
constant   49
;   -1
}   -1
otherwise   -1
{   -1
verify   -1
(   -1
identifier   10
%   -1
constant   0
==   -1
constant   48
)   -1
{   -1
identifier   29
=   -1
constant   48
;   -1
}   -1
}   -1
}   -1
loopFor   -1
(   -1
identifier   5
=   -1
constant   1
;   -1
identifier   5
*   -1
identifier   5
<=   -1
identifier   10
AND   -1
identifier   29
==   -1
constant   49
;   -1
identifier   5
=   -1
identifier   5
+   -1
constant   0
)   -1
{   -1
verify   -1
(   -1
identifier   10
%   -1
identifier   5
==   -1
constant   48
)   -1
{   -1
identifier   29
=   -1
constant   48
;   -1
}   -1
}   -1
verify   -1
(   -1
identifier   29
==   -1
constant   49
)   -1
{   -1
print   -1
(   -1
constant   9
;   -1
}   -1
otherwise   -1
{   -1
print   -1
(   -1
constant   28
;   -1
}   -1
