Index		Info		Parent		Right sibling
1			S			0			0
2			B			1			0
3			A			1			2
4			D			2			0
5			C			2			4
6			a			4			0
7			ε			5			0
8			+			5			0
9			B			5			8
10			A			5			9
11			D			9			0
12			C			9			11
13			(			11			0
14			S			11			13
15			)			11			14
16			B			14			0
17			A			14			16
18			D			16			0
19			C			16			18
20			a			18			0
21			ε			19			0
22			+			19			0
23			B			19			22
24			A			19			23
25			D			23			0
26			C			23			25
27			a			25			0
28			ε			26			0
29			ε			26			0
30			ε			26			0
31			ε			26			0
